学校,专业,最低分,平均分,最高分,招生年份,科类,批次,最低位次,省控线,专业类别
四川大学,微电子科学与工程,645,646,655,2023,理科,本科一批,5612,520,电子信息类
四川大学,物理学类,645,648,655,2023,理科,本科一批,5612,520,物理学类
四川大学,法学,645,649,655,2023,理科,本科一批,5612,520,法学类
四川大学,口腔医学,644,664,677,2023,理科,本科一批,5866,520,口腔医学类
四川大学,生物科学类,642,645,647,2023,理科,本科一批,6345,520,生物科学类
四川大学,电气类,640,644,655,2023,理科,本科一批,6899,520,电气类
四川大学,软件工程,640,645,652,2023,理科,本科一批,6899,520,计算机类
四川大学,药学,638,643,653,2023,理科,本科一批,7442,520,药学类
四川大学,临床医学,638,654,675,2023,理科,本科一批,7442,520,临床医学类
四川大学,网络空间安全,638,645,655,2023,理科,本科一批,7442,520,计算机类
四川大学,电子信息类,638,644,654,2023,理科,本科一批,7442,520,电子信息类
四川大学,经济学类,638,642,652,2023,理科,本科一批,7442,520,经济学类
四川大学,建筑学,637,640,643,2023,理科,本科一批,7695,520,建筑类
四川大学,化学类,637,643,656,2023,理科,本科一批,7695,520,化学类
四川大学,会计学,637,641,652,2023,理科,本科一批,7695,520,工商管理类
四川大学,口腔医学技术,636,645,656,2023,理科,本科一批,7994,520,医学技术类
四川大学,医学技术类,636,640,646,2023,理科,本科一批,7994,520,医学技术类
四川大学,临床医学,636,648,663,2023,理科,本科一批,7994,520,临床医学类
四川大学,中国语言文学类,636,644,669,2023,理科,本科一批,7994,520,中国语言文学类
四川大学,临床药学,635,639,648,2023,理科,本科一批,8302,520,药学类
四川大学,预防医学,635,640,647,2023,理科,本科一批,8302,520,公共卫生与预防医学类
四川大学,预防医学,635,636,637,2023,理科,本科一批,8302,520,公共卫生与预防医学类
四川大学,口腔医学技术,635,635,635,2023,理科,本科一批,8302,520,医学技术类
四川大学,医学技术类,635,638,643,2023,理科,本科一批,8302,520,医学技术类
四川大学,法医学,635,644,655,2023,理科,本科一批,8302,520,法医学类
四川大学,法医学,635,640,649,2023,理科,本科一批,8302,520,法医学类
四川大学,基础医学,635,639,646,2023,理科,本科一批,8302,520,基础医学类
四川大学,土木工程,635,636,637,2023,理科,本科一批,8302,520,土木类
四川大学,新闻传播学类,635,636,636,2023,理科,本科一批,8302,520,新闻传播学类
四川大学,金融学类,635,640,645,2023,理科,本科一批,8302,520,金融学类
四川大学,高分子材料与工程,634,639,652,2023,理科,本科一批,8606,520,材料类
四川大学,材料类,632,635,643,2023,理科,本科一批,9205,520,材料类
电子科技大学,计算机类,666,669,676,2020,理科,本科一批,1985,529,计算机类
电子科技大学,人工智能,663,665,671,2020,理科,本科一批,2460,529,电子信息类
电子科技大学,电子信息类,662,665,672,2020,理科,本科一批,2613,529,电子信息类
电子科技大学,自动化,661,661,661,2020,理科,本科一批,2783,529,自动化类
电子科技大学,电子信息类,660,662,668,2020,理科,本科一批,2945,529,电子信息类
电子科技大学,航空航天类,660,661,662,2020,理科,本科一批,2945,529,航空航天类
电子科技大学,数学类,660,661,663,2020,理科,本科一批,2945,529,数学类
电子科技大学,电子信息类,659,661,666,2020,理科,本科一批,3119,529,电子信息类
电子科技大学,软件工程,654,656,661,2020,理科,本科一批,4111,529,计算机类
电子科技大学,集成电路设计与集成系统,652,654,659,2020,理科,本科一批,4527,529,电子信息类
电子科技大学,软件工程,646,649,654,2020,理科,本科一批,6058,529,计算机类
电子科技大学,电子信息类,634,640,657,2020,理科,本科一批,9929,529,电子信息类
电子科技大学,电子信息类,631,636,655,2020,理科,本科一批,10990,529,电子信息类
电子科技大学,计算机科学与技术,674,676,678,2021,理科,本科一批,863,521,计算机类
电子科技大学,电子信息类,672,674,679,2021,理科,本科一批,993,521,电子信息类
电子科技大学,计算机科学与技术,668,670,672,2021,理科,本科一批,1303,521,计算机类
电子科技大学,计算机科学与技术,667,668,669,2021,理科,本科一批,1379,521,计算机类
电子科技大学,物联网工程,665,667,668,2021,理科,本科一批,1550,521,计算机类
电子科技大学,计算机类,664,665,669,2021,理科,本科一批,1650,521,计算机类
电子科技大学,数据科学与大数据技术,661,662,663,2021,理科,本科一批,1982,521,计算机类
电子科技大学,电子信息类,660,663,671,2021,理科,本科一批,2117,521,电子信息类
电子科技大学,金融学,656,657,658,2021,理科,本科一批,2600,521,金融学类
电子科技大学,电子信息类,655,658,663,2021,理科,本科一批,2730,521,电子信息类
电子科技大学,电子信息类,655,657,660,2021,理科,本科一批,2730,521,电子信息类
电子科技大学,数学类,654,657,660,2021,理科,本科一批,2878,521,数学类
电子科技大学,航空航天类,654,654,656,2021,理科,本科一批,2878,521,航空航天类
电子科技大学,智能电网信息工程,654,656,661,2021,理科,本科一批,2878,521,电气类
电子科技大学,信息管理与信息系统,654,654,655,2021,理科,本科一批,2878,521,管理科学与工程类
电子科技大学,生物医学工程类,652,653,655,2021,理科,本科一批,3189,521,生物医学工程类
电子科技大学,新能源材料与器件,652,656,662,2021,理科,本科一批,3189,521,材料类
电子科技大学,软件工程,648,651,657,2021,理科,本科一批,3852,521,计算机类
电子科技大学,集成电路设计与集成系统,645,649,659,2021,理科,本科一批,4411,521,电子信息类
电子科技大学,软件工程,639,642,654,2021,理科,本科一批,5700,521,计算机类
电子科技大学,电子信息类,627,633,651,2021,理科,本科一批,9103,521,电子信息类
电子科技大学,电子信息类,623,627,643,2021,理科,本科一批,10430,521,电子信息类
电子科技大学,临床医学,566,586,612,2021,理科,本科一批,42545,521,临床医学类
电子科技大学,护理学,564,565,566,2021,理科,本科一批,44135,521,护理学类
电子科技大学,计算机科学与技术,673,676,685,2022,理科,本科一批,660,515,计算机类
电子科技大学,电子信息类,669,672,678,2022,理科,本科一批,904,515,电子信息类
电子科技大学,计算机科学与技术,668,672,686,2022,理科,本科一批,981,515,计算机类
电子科技大学,计算机科学与技术,667,668,668,2022,理科,本科一批,1075,515,计算机类
电子科技大学,计算机类,663,665,668,2022,理科,本科一批,1428,515,计算机类
电子科技大学,物联网工程,662,665,666,2022,理科,本科一批,1535,515,计算机类
电子科技大学,数据科学与大数据技术,661,662,663,2022,理科,本科一批,1638,515,计算机类
电子科技大学,电子信息类,659,661,665,2022,理科,本科一批,1847,515,电子信息类
电子科技大学,金融学,655,657,662,2022,理科,本科一批,2306,515,金融学类
电子科技大学,电子信息类,655,656,658,2022,理科,本科一批,2306,515,电子信息类
电子科技大学,电子信息类,654,656,660,2022,理科,本科一批,2422,515,电子信息类
电子科技大学,智能电网信息工程,652,653,654,2022,理科,本科一批,2693,515,电气类
电子科技大学,数学类,652,654,655,2022,理科,本科一批,2693,515,数学类
电子科技大学,航空航天类,651,653,657,2022,理科,本科一批,2832,515,航空航天类
电子科技大学,信息管理与信息系统,651,652,653,2022,理科,本科一批,2832,515,管理科学与工程类
电子科技大学,新能源材料与器件,650,652,658,2022,理科,本科一批,2978,515,材料类
